PS C:\Users\Paulo\Desktop\236901\ARMP-HW2> python run.py -map map2.json
117050 237.00015115737915 ((150, 149)), g,h:[195.79393923934035,714.2128534267638], parent: ((149, 149))
118050 239.0495581626892 ((142, 129)), g,h:[172.4802307403555,824.9242389456138], parent: ((141, 129))
119050 241.28645372390747 ((151, 134)), g,h:[181.79393923934035,834.0863264674706], parent: ((150, 134))
120050 243.4338779449463 ((134, 150)), g,h:[188.75230867899754,604.648658313239], parent: ((133, 149))
121050 245.53234457969666 ((151, 149)), g,h:[195.37972567696724,721.2489168102785], parent: ((150, 149))
122050 247.64468955993652 ((129, 115)), g,h:[151.681240867132,898.1091247727081], parent: ((128, 114))
123050 249.7891664505005 ((158, 141)), g,h:[189.6934341759521,827.3451516749221], parent: ((157, 140))
124050 251.8686285018921 ((131, 146)), g,h:[183.2670273047589,622.6556030423238], parent: ((130, 146))
125050 253.96809458732605 ((158, 156)), g,h:[203.86500705120588,728.0109889280518], parent: ((157, 155))
126050 256.01554894447327 ((150, 134)), g,h:[179.13708498984792,828.0096617793781], parent: ((149, 134))
127050 258.1610255241394 ((155, 136)), g,h:[182.62236636408656,843.8601779915912], parent: ((154, 135))
128050 260.261492729187 ((143, 156)), g,h:[197.40916292848996,615.223536610881], parent: ((142, 156))
129050 262.3709602355957 ((147, 142)), g,h:[185.0660171779824,746.5252842335616], parent: ((146, 142))
130050 264.41641569137573 ((160, 143)), g,h:[190.86500705120588,827.5868534480232], parent: ((159, 142))
131050 266.522882938385 ((154, 131)), g,h:[177.55129855222103,876.184911990614], parent: ((153, 131))
132050 268.6493549346924 ((149, 161)), g,h:[203.4802307403555,626.2587324740471], parent: ((148, 160))
133050 270.7338185310364 ((149, 142)), g,h:[185.0660171779824,759.2759709091287], parent: ((148, 142))
134050 272.7792727947235 ((165, 146)), g,h:[195.1076477383252,845.0443775329198], parent: ((164, 145))
135050 274.85373306274414 ((159, 132)), g,h:[180.96551211459413,900.2777349240623], parent: ((158, 132))
136050 276.9561998844147 ((150, 159)), g,h:[201.0660171779824,646.6065264130884], parent: ((149, 158))
137050 279.0126564502716 ((138, 129)), g,h:[166.681240867132,805.2949770115297], parent: ((137, 129))
138050 281.032105922699 ((162, 140)), g,h:[187.03657992645967,862.7861844049197], parent: ((161, 139))
139050 283.08956265449524 ((147, 117)), g,h:[160.75230867899754,953.8343671728336], parent: ((146, 117))
140050 285.19402956962585 ((151, 156)), g,h:[198.23759005323618,673.5725647619564], parent: ((150, 156))
141050 287.24548530578613 ((153, 141)), g,h:[184.0660171779824,793.0952023559341], parent: ((152, 141))
142050 289.23892879486084 ((156, 128)), g,h:[174.0660171779824,912.1403400793104], parent: ((155, 128))
143050 291.3353941440582 ((108, 106)), g,h:[165.19595949289337,943.3981132056604], parent: ((109, 106))
144050 293.44986367225647 ((161, 169)), g,h:[213.96551211459413,684.2514157822402], parent: ((160, 168))
145050 295.51432156562805 ((164, 149)), g,h:[195.79393923934035,818.3520025025906], parent: ((163, 149))
146050 297.51576685905457 ((145, 118)), g,h:[156.33809511662443,935.3608929178085], parent: ((144, 117))
147050 299.6192343235016 ((161, 124)), g,h:[173.65180361560928,974.5255255764212], parent: ((160, 124))
148050 301.72270154953003 ((144, 141)), g,h:[178.0954544295051,736.0027173862879], parent: ((143, 140))
149050 303.7701561450958 ((163, 144)), g,h:[189.55129855222103,842.9116205154606], parent: ((162, 144))
150050 305.7655985355377 ((144, 112)), g,h:[150.8528137423858,983.8699100999075], parent: ((143, 112))
151050 307.85838079452515 ((137, 161)), g,h:[194.36753236814715,537.5872022286245], parent: ((136, 160))
152050 310.0388650894165 ((166, 164)), g,h:[209.37972567696724,751.7978451685001], parent: ((165, 163))
153050 312.095321893692 ((159, 135)), g,h:[178.0660171779824,877.8382538941898], parent: ((158, 135))
154050 314.12177205085754 ((144, 109)), g,h:[147.02438661763958,1010.7917688624102], parent: ((143, 109))
155050 316.2432429790497 ((151, 161)), g,h:[199.33809511662443,642.0280367709809], parent: ((150, 160))
156050 318.38571882247925 ((150, 136)), g,h:[174.50966799187822,812.1576201698781], parent: ((149, 136))
157050 320.46718096733093 ((161, 132)), g,h:[174.4802307403555,913.5097153287425], parent: ((160, 131))
158050 322.5206365585327 ((149, 110)), g,h:[149.8528137423858,1024.7438704378767], parent: ((148, 110))
159050 324.6571111679077 ((162, 168)), g,h:[210.0660171779824,697.7105417004964], parent: ((161, 167))
160050 326.71956968307495 ((143, 123)), g,h:[157.78174593052026,881.9297024139736], parent: ((142, 123))
161050 328.7430191040039 ((156, 117)), g,h:[159.50966799187822,1001.2492197250392], parent: ((155, 117))
162050 330.8434855937958 ((25, 145)), g,h:[264.35028842544455,930.0537618869137], parent: ((26, 145))
163050 332.96795749664307 ((166, 163)), g,h:[205.8944443027286,756.6372975210778], parent: ((165, 162))
164050 335.0254137516022 ((141, 114)), g,h:[147.12489168102783,952.732911156112], parent: ((140, 114))
165050 337.079870223999 ((169, 126)), g,h:[173.0660171779824,1011.7806086301516], parent: ((168, 126))
166050 339.2223470211029 ((142, 154)), g,h:[186.12489168102783,622.8964600958975], parent: ((141, 153))
167050 341.4498407840729 ((164, 149)), g,h:[190.23759005323618,818.3520025025906], parent: ((163, 148))
168050 343.53430461883545 ((157, 123)), g,h:[161.92388155425132,958.0187889597992], parent: ((156, 123))
169050 345.6167676448822 ((152, 108)), g,h:[146.02438661763958,1056.7875850898324], parent: ((151, 108))
170050 347.8232572078705 ((151, 147)), g,h:[182.61017305526647,735.5270219373317], parent: ((150, 147))
171050 349.9587314128876 ((149, 125)), g,h:[159.19595949289337,895.8794561770015], parent: ((148, 124))
172050 352.0141878128052 ((166, 120)), g,h:[164.75230867899754,1037.111372997134], parent: ((165, 120))
173050 354.2176764011383 ((11, 223)), g,h:[310.6589462905468,919.2388155425118], parent: ((12, 222))
174050 356.4709780216217 ((157, 142)), g,h:[179.2670273047589,813.203541556479], parent: ((156, 142))
175050 358.5864477157593 ((144, 110)), g,h:[141.29646455628162,1001.7983829094555], parent: ((143, 109))
176050 360.6929063796997 ((145, 100)), g,h:[131.71067811865473,1096.5856099730654], parent: ((144, 99))
177050 362.962411403656 ((145, 142)), g,h:[172.88225099390854,734.0980860893181], parent: ((144, 141))
178050 365.17324709892273 ((168, 142)), g,h:[182.99494936611688,893.7561188601733], parent: ((167, 142))
179050 367.2737138271332 ((169, 121)), g,h:[164.16652224137067,1048.9041900955492], parent: ((168, 121))
180050 369.4632341861725 ((6, 207)), g,h:[309.0315292925771,942.6027795418386], parent: ((7, 206))
181050 371.73473834991455 ((163, 148)), g,h:[185.50966799187825,816.884324736373], parent: ((162, 147))
182050 373.9014005661011 ((158, 120)), g,h:[156.0243866176396,988.1295461628499], parent: ((157, 120))
183050 376.0498774051666 ((166, 117)), g,h:[155.75230867899754,1060.4244433244644], parent: ((165, 116))
184050 378.2693705558777 ((159, 157)), g,h:[192.0243866176396,730.0684899377592], parent: ((158, 156))
185050 380.47986102104187 ((162, 132)), g,h:[168.26702730475893,920.2173656261873], parent: ((161, 131))
186050 382.55032110214233 ((166, 114)), g,h:[153.68124086713203,1084.066418629412], parent: ((165, 114))
187050 384.73880767822266 ((119, 89)), g,h:[151.29646455628165,1126.1438629233835], parent: ((120, 90))
188050 386.9873061180115 ((160, 137)), g,h:[172.19595949289342,870.0], parent: ((159, 137))
189050 389.0897731781006 ((160, 115)), g,h:[149.61017305526653,1040.4326023342405], parent: ((159, 114))
190050 391.19624161720276 ((57, 283)), g,h:[348.6761902332495,934.7726996441435], parent: ((58, 282))
191050 393.4392476081848 ((162, 155)), g,h:[189.61017305526656,766.0939890117922], parent: ((161, 154))
192050 395.59476256370544 ((155, 118)), g,h:[150.2964645562817,987.3702446397704], parent: ((154, 118))
193050 397.6719307899475 ((167, 120)), g,h:[156.681240867132,1043.5037134576953], parent: ((166, 119))
194050 399.8664298057556 ((148, 139)), g,h:[166.98275605729685,776.2087348130012], parent: ((148, 138))
195050 402.16197657585144 ((153, 124)), g,h:[154.63961030678928,926.5527507918802], parent: ((152, 124))
196050 404.25984835624695 ((153, 101)), g,h:[131.05382386916233,1122.9425630903836], parent: ((152, 100))
197050 406.42991375923157 ((89, 89)), g,h:[178.81118318204307,1115.437134042076], parent: ((90, 90))
198050 408.6930024623871 ((155, 136)), g,h:[166.0538238691624,843.8601779915912], parent: ((154, 135))
199050 410.81948161125183 ((166, 120)), g,h:[154.61017305526656,1037.111372997134], parent: ((165, 119))
200050 412.9239490032196 ((1, 177)), g,h:[301.6051224213839,1016.366075781753], parent: ((2, 177))
201050 415.123437166214 ((162, 160)), g,h:[192.12489168102795,737.8346698278687], parent: ((161, 159))
202050 417.28191614151 ((168, 127)), g,h:[162.19595949289348,997.6472322419384], parent: ((167, 127))
203050 419.4033873081207 ((1, 172)), g,h:[299.53405460951836,1028.8342918079666], parent: ((2, 172))
204050 421.6395139694214 ((155, 150)), g,h:[178.39696961967002,743.3034373659252], parent: ((154, 149))
205050 423.815997838974 ((165, 123)), g,h:[155.53910524340108,1007.670581092849], parent: ((164, 122))
206050 425.95647835731506 ((102, 296)), g,h:[380.3330444827419,960.2083107326243], parent: ((101, 295))
207050 428.18048214912415 ((166, 169)), g,h:[201.12489168102798,729.1776189653656], parent: ((165, 168))
208050 430.31395649909973 ((166, 120)), g,h:[152.71067811865487,1037.111372997134], parent: ((165, 120))
209050 432.4024200439453 ((160, 93)), g,h:[123.81118318204304,1226.7436570041843], parent: ((159, 93))
210050 434.6289143562317 ((166, 159)), g,h:[190.29646455628176,776.9813382572324], parent: ((165, 158))
211050 436.7803921699524 ((159, 107)), g,h:[135.9827560572969,1101.3627921806692], parent: ((158, 107))
212050 438.90186381340027 ((139, 85)), g,h:[126.32590180780448,1214.3310915891102], parent: ((140, 86))
213050 441.0453429222107 ((156, 131)), g,h:[157.3259018078045,888.6506625215557], parent: ((155, 130))
214050 443.07779335975647 ((166, 104)), g,h:[134.46803743153546,1164.989270336856], parent: ((165, 103))
215050 445.17874026298523 ((110, 78)), g,h:[157.39696961967005,1224.0914998479484], parent: ((111, 79))
216050 447.2912087440491 ((157, 115)), g,h:[141.49747468305833,1023.4256201600583], parent: ((156, 115))
217050 449.2706482410431 ((47, 96)), g,h:[222.05382386916233,1167.2617529928752], parent: ((48, 96))
218050 451.3871190547943 ((167, 161)), g,h:[190.2253967444163,775.2418977325722], parent: ((166, 160))
219050 453.4075782299042 ((161, 99)), g,h:[126.32590180780448,1179.9152511939153], parent: ((160, 99))
220050 455.44403076171875 ((127, 296)), g,h:[405.3330444827419,997.2462083156797], parent: ((126, 295))
221050 457.5004873275757 ((161, 115)), g,h:[140.91168824543144,1046.2313319720452], parent: ((160, 114))
222050 459.4769263267517 ((109, 79)), g,h:[155.49747468305833,1213.3424908079335], parent: ((110, 80))
223050 461.55838894844055 ((160, 133)), g,h:[157.66904755831214,899.388681271896], parent: ((159, 132))
224050 463.5168237686157 ((107, 74)), g,h:[159.56854249492386,1261.9429464123962], parent: ((108, 75))
225050 465.56727933883667 ((163, 164)), g,h:[189.08326112068528,725.6031973468694], parent: ((162, 163))
226050 467.56772351264954 ((163, 92)), g,h:[117.08326112068521,1250.3199590504823], parent: ((162, 91))
227050 469.5661675930023 ((1, 249)), g,h:[337.8721497261434,1104.6266337545912], parent: ((2, 248))
228050 471.5276029109955 ((162, 95)), g,h:[119.42640687119284,1219.3850909372313], parent: ((161, 95))
229050 473.49003863334656 ((131, 72)), g,h:[133.91168824543146,1317.0041761513135], parent: ((132, 73))
230050 475.4349751472473 ((169, 102)), g,h:[127.91168824543139,1198.5407794480752], parent: ((168, 101))
231050 477.44100522994995 ((66, 78)), g,h:[195.59797974644664,1266.491215919005], parent: ((67, 78))
232050 479.369432926178 ((169, 96)), g,h:[121.08326112068521,1248.0785231707177], parent: ((168, 95))
233050 481.3448820114136 ((19, 277)), g,h:[358.4163056034275,1117.5866856758807], parent: ((20, 276))
234050 483.2525038719177 ((104, 68)), g,h:[160.91168824543146,1320.6059215375342], parent: ((105, 69))
235050 485.22659039497375 ((164, 122)), g,h:[143.35533905932738,1008.9598604503551], parent: ((164, 121))
236050 487.1397342681885 ((114, 71)), g,h:[148.0121933088198,1297.5746606650423], parent: ((115, 72))
237050 489.123174905777 ((166, 108)), g,h:[129.35533905932738,1132.2543883774529], parent: ((165, 107))
238050 491.05060267448425 ((142, 68)), g,h:[120.42640687119284,1385.2075656738234], parent: ((143, 69))
239050 492.98703241348267 ((137, 72)), g,h:[122.94112549695429,1332.4038426843417], parent: ((138, 73))
240050 494.96149015426636 ((169, 98)), g,h:[118.94112549695429,1231.4625451064276], parent: ((168, 97))
241050 496.9599516391754 ((114, 62)), g,h:[149.25483399593918,1387.0832707519762], parent: ((115, 63))
